Date,Forecast,Lower_Bound,Upper_Bound
2003-01-06,20353.930610467658,-8711.585471642715,50769.4428164561
2003-01-09,31539.118706063215,1562.7682369819252,60809.0838073021
2003-01-10,30130.100310224305,684.7547245409405,59037.731652992035
2003-01-29,32821.857148352254,4572.5047538676,64253.255576512536
2003-01-31,34758.346688455276,4790.655079007733,62659.51363582755
2003-02-11,37718.87767766632,6900.451137865247,65989.94186856554
2003-02-17,32892.96699794657,3847.709486768626,61486.55651882453
2003-02-24,34733.0452732262,7062.175919568574,63298.600183503084
2003-03-03,31584.746298454666,1331.645150432269,61942.47552367595
2003-03-10,25223.61625755926,-5623.464967624063,56411.4665983082
2003-03-18,28132.265385493738,-796.7361112528791,58701.9595816269
2003-03-24,19509.767582076063,-8147.514877240728,47809.559531030834
2003-03-25,27809.55612773713,-1550.0104558047885,56085.11275801877
2003-03-26,24593.542700757393,-2528.564999244229,53639.81799313177
2003-04-01,29231.287643677388,-1181.8596896941763,61267.290789014514
2003-04-04,28432.382718402776,-1148.3121533876301,57747.944324116535
2003-04-11,27869.328025234812,-1403.2709518135725,56487.999475105375
2003-04-16,24977.749880860847,-3806.921831192638,53726.02568019532
2003-04-21,20762.242749928195,-8938.920316299587,48544.86347642477
2003-04-28,24435.508217010218,-4897.726243941139,53255.478548418
2003-04-29,33334.63567149876,3407.3833373118146,61958.27246102465
2003-05-07,35922.703188103944,6906.679634765039,65873.03545796331
2003-05-08,40945.39017375523,12041.381274031091,69163.09542039222
2003-05-20,41284.52319396103,11271.232696911546,69626.79765437568
2003-05-21,37626.25215562513,6987.780381951189,66074.0725498036
2003-05-28,35533.410612958265,8724.673283129247,63992.494926645464
2003-06-03,37602.25678430707,7922.744463973116,65415.53095368803
2003-06-06,35980.161983748614,7394.357034312652,66409.0936093094
2003-06-12,36799.35399642108,7346.31690950327,64698.86682448775
2003-06-16,26229.33026755619,-1340.6281627676042,56867.52301598861
2003-06-27,29425.53630570623,-1677.0022770921637,57807.49273101786
2003-07-01,30640.19478132864,1242.865791179806,58844.41014891113
2003-07-02,27481.096080427295,-1665.5781128488943,57468.56413344144
2003-07-04,30508.861753334684,1262.661055219311,58838.16730534205
2003-07-10,36488.508320496636,8400.299118274912,64504.200742335466
2003-07-16,36493.88515594782,9308.03680607807,66040.65290358277
2003-07-24,43594.6630751001,13195.046196903577,70594.44547472998
2003-08-01,39869.22806789731,12894.974523441273,69117.11909481675
2003-08-08,39166.26604271069,11403.818973236666,70085.23758304631
